Eastern Conference,area ,Location,W,L,W/L%,GB,PS/G,PA/G
Miami Heat*,Miami,Florida,53,29,0.646,Ñ,110,105.6
Milwaukee Bucks*,Milwaukee,Wisconsin,51,31,0.622,2,115.5,112.1
Boston Celtics*,Boston,Massachusetts,51,31,0.622,2,111.8,104.5
Philadelphia 76ers*,Philadelphia,Pennsylvania,51,31,0.622,2,109.9,107.3
Toronto Raptors*,Toronto,Ontario,48,34,0.585,5,109.4,107.1
Chicago Bulls*,Chicago,Illinois,46,36,0.561,7,111.6,112
Brooklyn Nets*,Brooklyn,New York,44,38,0.537,9,112.9,112.1
Cleveland Cavaliers,Cleveland,Ohio,44,38,0.537,9,107.8,105.7
Atlanta Hawks*,Atlanta,Georgia,43,39,0.524,10,113.9,112.4
Charlotte Hornets,Charlotte,North Carolina,43,39,0.524,10,115.3,114.9
New York Knicks,New York City,New York,37,45,0.451,16,106.5,106.6
Washington Wizards,Washington,D.C.,35,47,0.427,18,108.6,112
Indiana Pacers,Indianapolis,Indiana,25,57,0.305,28,111.5,114.9
Detroit Pistons,Detroit,Michigan,23,59,0.28,30,104.8,112.5
Orlando Magic,Orlando,Florida,22,60,0.268,31,104.2,1
Phoenix Suns*,Phoenix,Arizona,64,18,0.78,Ñ,114.8,107.3
Memphis Grizzlies*,Memphis,Tennessee,56,26,0.683,8,115.6,109.9
Golden State Warriors*,San Francisco,California,53,29,0.646,11,111,105.5
Dallas Mavericks*,Dallas,Texas,52,30,0.634,12,108,104.7
Utah Jazz*,Salt Lake City,Utah,49,33,0.598,15,113.6,107.6
Denver Nuggets*,Denver,Colorado,48,34,0.585,16,112.7,110.4
Minnesota Timberwolves*,Minneapolis,Minnesota,46,36,0.561,18,115.9,113.3
Los Angeles Clippers,Los Angeles,California,42,40,0.512,22,108.4,108.4
New Orleans Pelicans*,New Orleans,Louisiana,36,46,0.439,28,109.3,110.3
San Antonio Spurs,San Antonio,Texas,34,48,0.415,30,113.2,113
Los Angeles Lakers,Los Angeles,California,33,49,0.402,31,112.1,115.1
Sacramento Kings,Sacramento,California,30,52,0.366,34,110.3,115.8
Portland Trail Blazers,Portland,Oregon,27,55,0.329,37,106.2,115.1
Oklahoma City Thunder,Oklahoma City,Oklahoma,24,58,0.293,40,103.7,111.8
Houston Rockets,Houston,Texas,20,62,0.244,44,109.7,118.2