Team,Year,average points per game
Boston Celtics,1957,109.9
Boston Celtics,1959,116.4
Boston Celtics,1960,124.5
Boston Celtics,1961,119.7
Boston Celtics,1962,121.1
Boston Celtics,1963,118.8
Boston Celtics,1964,113
Boston Celtics,1965,112.8
Boston Celtics,1966,112.7
Boston Celtics,1968,116.1
Boston Celtics,1969,111
Boston Celtics,1974,109
Boston Celtics,1976,106.2
Boston Celtics,1981,109.9
Boston Celtics,1984,112.1
Boston Celtics,1986,114.1
Boston Celtics,2008,100.5
Los Angeles Lakers,1949,84
Los Angeles Lakers,1950,84.1
Los Angeles Lakers,1952,85.6
Los Angeles Lakers,1953,85.3
Los Angeles Lakers,1954,81.7
Los Angeles Lakers,1972,121
Los Angeles Lakers,1980,115.1
Los Angeles Lakers,1982,114.6
Los Angeles Lakers,1985,118.2
Los Angeles Lakers,1987,117.8
Los Angeles Lakers,1988,112.8
Los Angeles Lakers,2000,100.8
Los Angeles Lakers,2001,100.6
Los Angeles Lakers,2002,101.3
Los Angeles Lakers,2009,106.9
Los Angeles Lakers,2010,101.7
Los Angeles Lakers,2020,113.4
Golden State Warriors,1947,68.6
Golden State Warriors,1956,103.1
Golden State Warriors,1975,108.5
Golden State Warriors,2015,114.9
Golden State Warriors,2017,115.9
Golden State Warriors,2018,113.5
Golden State Warriors,2022,111
Chicago Bulls,1991,110
Chicago Bulls,1992,109.9
Chicago Bulls,1993,105.2
Chicago Bulls,1996,105.2
Chicago Bulls,1997,103.1
Chicago Bulls,1998,96.7
San Antonio Spurs,1999,92.8
San Antonio Spurs,2003,95.8
San Antonio Spurs,2005,96.2
San Antonio Spurs,2007,98.5
San Antonio Spurs,2014,105.4